(0;-1.94118)
(0.02;-1.88235)
(0.04;-1.82353)
(0.06;-1.76471)
(0.08;-1.70588)
(0.1;-1.64706)
(0.12;-1.58824)
(0.14;-1.52941)
(0.16;-1.47059)
(0.18;-1.41176)
(0.2;-1.35294)
(0.22;-1.29412)
(0.24;-1.23529)
(0.26;-1.17647)
(0.28;-1.11765)
(0.3;-1.05882)
(0.32;-1)
(0.34;-0.941176)
(0.36;-0.882353)
(0.38;-0.823529)
(0.4;-0.764706)
(0.42;-0.705882)
(0.44;-0.647059)
(0.46;-0.588235)
(0.48;-0.529412)
(0.5;-0.470588)
(0.52;-0.411765)
(0.54;-0.352941)
(0.56;-0.294118)
(0.58;-0.235294)
(0.6;-0.176471)
(0.62;-0.117647)
(0.64;-0.0588235)
(0.66;1.48302e-13)
(0.68;0.0588235)
(0.7;0.117647)
(0.72;0.176471)
(0.74;0.235294)
(0.76;0.294118)
(0.78;0.352941)
(0.8;0.411765)
(0.82;0.470588)
(0.84;0.529412)
(0.86;0.588235)
(0.88;0.647059)
(0.9;0.705882)
(0.92;0.764706)
(0.94;0.823529)
(0.96;0.882353)
(0.98;0.941176)
(1;1)
