(0;-2)
(0.02;-1.94)
(0.04;-1.88)
(0.06;-1.82)
(0.08;-1.76)
(0.1;-1.7)
(0.12;-1.64)
(0.14;-1.58)
(0.16;-1.52)
(0.18;-1.46)
(0.2;-1.4)
(0.22;-1.34)
(0.24;-1.28)
(0.26;-1.22)
(0.28;-1.16)
(0.3;-1.1)
(0.32;-1.04)
(0.34;-0.98)
(0.36;-0.92)
(0.38;-0.86)
(0.4;-0.8)
(0.42;-0.74)
(0.44;-0.68)
(0.46;-0.62)
(0.48;-0.56)
(0.5;-0.5)
(0.52;-0.44)
(0.54;-0.38)
(0.56;-0.32)
(0.58;-0.26)
(0.6;-0.2)
(0.62;-0.14)
(0.64;-0.08)
(0.66;-0.02)
(0.68;0.04)
(0.7;0.1)
(0.72;0.16)
(0.74;0.22)
(0.76;0.28)
(0.78;0.34)
(0.8;0.4)
(0.82;0.46)
(0.84;0.52)
(0.86;0.58)
(0.88;0.64)
(0.9;0.7)
(0.92;0.76)
(0.94;0.82)
(0.96;0.88)
(0.98;0.94)
(1;1)
