x,T
0,0.737945
0.02,0.72282
0.04,0.707717
0.06,0.692634
0.08,0.677573
0.1,0.662532
0.12,0.647511
0.14,0.63251
0.16,0.617528
0.18,0.602564
0.2,0.58762
0.22,0.572693
0.24,0.557784
0.26,0.542892
0.28,0.528017
0.3,0.513158
0.32,0.498316
0.34,0.483488
0.36,0.468676
0.38,0.453879
0.4,0.439096
0.42,0.424327
0.44,0.409571
0.46,0.394828
0.48,0.380097
0.5,0.365379
0.52,0.350672
0.54,0.335976
0.56,0.321291
0.58,0.306617
0.6,0.291952
0.62,0.277296
0.64,0.262649
0.66,0.248011
0.68,0.233381
0.7,0.218758
0.72,0.204142
0.74,0.189533
0.76,0.17493
0.78,0.160333
0.8,0.145741
0.82,0.131153
0.84,0.11657
0.86,0.10199
0.88,0.0874141
0.9,0.0728407
0.92,0.0582698
0.94,0.0437007
0.96,0.029133
0.98,0.0145663
1,0
