x,T
0,0.766355
0.02,0.750738
0.04,0.735138
0.06,0.719555
0.08,0.703988
0.1,0.688438
0.12,0.672903
0.14,0.657384
0.16,0.64188
0.18,0.626392
0.2,0.610918
0.22,0.595458
0.24,0.580012
0.26,0.56458
0.28,0.549161
0.3,0.533755
0.32,0.518362
0.34,0.502981
0.36,0.487612
0.38,0.472255
0.4,0.456909
0.42,0.441574
0.44,0.426249
0.46,0.410935
0.48,0.39563
0.5,0.380335
0.52,0.36505
0.54,0.349773
0.56,0.334504
0.58,0.319244
0.6,0.303991
0.62,0.288746
0.64,0.273507
0.66,0.258276
0.68,0.24305
0.7,0.227831
0.72,0.212617
0.74,0.197408
0.76,0.182205
0.78,0.167005
0.8,0.15181
0.82,0.136618
0.84,0.12143
0.86,0.106245
0.88,0.0910621
0.9,0.0758817
0.92,0.0607031
0.94,0.045526
0.96,0.0303501
0.98,0.0151748
1,0
