x,T
0,0.538745
0.02,0.525771
0.04,0.513087
0.06,0.500686
0.08,0.488563
0.1,0.476634
0.12,0.464782
0.14,0.453007
0.16,0.441309
0.18,0.429686
0.2,0.418137
0.22,0.406661
0.24,0.395258
0.26,0.383926
0.28,0.372663
0.3,0.361469
0.32,0.350343
0.34,0.339282
0.36,0.328286
0.38,0.317353
0.4,0.306482
0.42,0.29567
0.44,0.284917
0.46,0.274221
0.48,0.26358
0.5,0.252992
0.52,0.242456
0.54,0.231969
0.56,0.221531
0.58,0.211138
0.6,0.20079
0.62,0.190484
0.64,0.180219
0.66,0.169992
0.68,0.159801
0.7,0.149645
0.72,0.139521
0.74,0.129428
0.76,0.119362
0.78,0.109323
0.8,0.099308
0.82,0.0893146
0.84,0.0793409
0.86,0.0693847
0.88,0.059444
0.9,0.0495165
0.92,0.0395999
0.94,0.0296922
0.96,0.0197911
0.98,0.00989446
1,0
