x,T
0,0.798061
0.02,0.781884
0.04,0.76572
0.06,0.749568
0.08,0.733429
0.1,0.717301
0.12,0.701186
0.14,0.685082
0.16,0.66899
0.18,0.652909
0.2,0.636838
0.22,0.620779
0.24,0.604729
0.26,0.58869
0.28,0.572661
0.3,0.556641
0.32,0.540631
0.34,0.52463
0.36,0.508638
0.38,0.492654
0.4,0.476679
0.42,0.460712
0.44,0.444753
0.46,0.428801
0.48,0.412857
0.5,0.39692
0.52,0.380989
0.54,0.365065
0.56,0.349148
0.58,0.333236
0.6,0.31733
0.62,0.30143
0.64,0.285535
0.66,0.269644
0.68,0.253759
0.7,0.237877
0.72,0.222
0.74,0.206127
0.76,0.190257
0.78,0.174391
0.8,0.158528
0.82,0.142667
0.84,0.126809
0.86,0.110953
0.88,0.0950989
0.9,0.0792466
0.92,0.0633956
0.94,0.0475457
0.96,0.0316967
0.98,0.0158482
1,0
