x,T
0,0.113475
0.02,0.0910009
0.04,0.0733611
0.06,0.0593996
0.08,0.0482743
0.1,0.0393587
0.12,0.0321799
0.14,0.0263758
0.16,0.0216664
0.18,0.0178333
0.2,0.0147047
0.22,0.0121448
0.24,0.0100455
0.26,0.00832057
0.28,0.00690055
0.3,0.0057296
0.32,0.00476254
0.34,0.00396274
0.36,0.00330038
0.38,0.00275118
0.4,0.00229529
0.42,0.00191645
0.44,0.00160133
0.46,0.00133895
0.48,0.00112031
0.5,0.000937949
0.52,0.000785732
0.54,0.000658579
0.56,0.000552284
0.58,0.00046336
0.6,0.000388918
0.62,0.000326552
0.64,0.000274266
0.66,0.000230397
0.68,0.000193557
0.7,0.000162591
0.72,0.000136532
0.74,0.000114572
0.76,9.60342e-05
0.78,8.03512e-05
0.8,6.70454e-05
0.82,5.57145e-05
0.84,4.60184e-05
0.86,3.76688e-05
0.88,3.04199e-05
0.9,2.40612e-05
0.92,1.84112e-05
0.94,1.33116e-05
0.96,8.62362e-06
0.98,4.2236e-06
1,0
