x,T
0,0.759152
0.02,0.743661
0.04,0.728187
0.06,0.712732
0.08,0.697294
0.1,0.681873
0.12,0.66647
0.14,0.651082
0.16,0.635712
0.18,0.620357
0.2,0.605017
0.22,0.589693
0.24,0.574384
0.26,0.559089
0.28,0.543808
0.3,0.528541
0.32,0.513288
0.34,0.498048
0.36,0.48282
0.38,0.467605
0.4,0.452401
0.42,0.43721
0.44,0.422029
0.46,0.40686
0.48,0.391701
0.5,0.376552
0.52,0.361413
0.54,0.346283
0.56,0.331162
0.58,0.31605
0.6,0.300946
0.62,0.28585
0.64,0.270762
0.66,0.25568
0.68,0.240605
0.7,0.225537
0.72,0.210474
0.74,0.195417
0.76,0.180366
0.78,0.165318
0.8,0.150276
0.82,0.135237
0.84,0.120201
0.86,0.105169
0.88,0.09014
0.9,0.075113
0.92,0.060088
0.94,0.0450646
0.96,0.0300424
0.98,0.015021
1,0
