x,T
0,0.735729
0.02,0.720642
0.04,0.705577
0.06,0.690533
0.08,0.675511
0.1,0.660509
0.12,0.645528
0.14,0.630567
0.16,0.615625
0.18,0.600703
0.2,0.585799
0.22,0.570914
0.24,0.556047
0.26,0.541197
0.28,0.526364
0.3,0.511548
0.32,0.496748
0.34,0.481964
0.36,0.467195
0.38,0.452442
0.4,0.437702
0.42,0.422977
0.44,0.408266
0.46,0.393567
0.48,0.378882
0.5,0.364208
0.52,0.349547
0.54,0.334896
0.56,0.320257
0.58,0.305628
0.6,0.291009
0.62,0.2764
0.64,0.261799
0.66,0.247207
0.68,0.232624
0.7,0.218047
0.72,0.203479
0.74,0.188916
0.76,0.17436
0.78,0.15981
0.8,0.145265
0.82,0.130725
0.84,0.116189
0.86,0.101657
0.88,0.0871283
0.9,0.0726025
0.92,0.0580791
0.94,0.0435577
0.96,0.0290376
0.98,0.0145186
1,0
