x,T
0,0.521073
0.02,0.507418
0.04,0.494092
0.06,0.481086
0.08,0.468393
0.1,0.456003
0.12,0.443908
0.14,0.432101
0.16,0.420574
0.18,0.409247
0.2,0.398008
0.22,0.386857
0.24,0.375792
0.26,0.364811
0.28,0.353913
0.3,0.343096
0.32,0.332359
0.34,0.321699
0.36,0.311116
0.38,0.300607
0.4,0.29017
0.42,0.279803
0.44,0.269505
0.46,0.259274
0.48,0.249107
0.5,0.239002
0.52,0.228958
0.54,0.218972
0.56,0.209041
0.58,0.199165
0.6,0.18934
0.62,0.179564
0.64,0.169835
0.66,0.160151
0.68,0.150509
0.7,0.140907
0.72,0.131343
0.74,0.121813
0.76,0.112316
0.78,0.10285
0.8,0.0934111
0.82,0.0839976
0.84,0.0746069
0.86,0.0652366
0.88,0.055884
0.9,0.0465466
0.92,0.037222
0.94,0.0279076
0.96,0.0186008
0.98,0.00929913
1,0
