x,T
0,0.213836
0.02,0.193058
0.04,0.174493
0.06,0.157874
0.08,0.14297
0.1,0.129584
0.12,0.117544
0.14,0.1067
0.16,0.096922
0.18,0.0880954
0.2,0.0801195
0.22,0.0729053
0.24,0.0663741
0.26,0.0604563
0.28,0.05509
0.3,0.0502199
0.32,0.045797
0.34,0.0417773
0.36,0.0381214
0.38,0.0347941
0.4,0.0317639
0.42,0.0290022
0.44,0.0264836
0.46,0.0241849
0.48,0.0220855
0.5,0.0201664
0.52,0.0184109
0.54,0.0168035
0.56,0.0153303
0.58,0.0139787
0.6,0.0127373
0.62,0.0115957
0.64,0.0105444
0.66,0.00957481
0.68,0.00867904
0.7,0.00784993
0.72,0.00708092
0.74,0.00636603
0.76,0.00569976
0.78,0.00507707
0.8,0.00449332
0.82,0.00394427
0.84,0.00342597
0.86,0.00293482
0.88,0.00246747
0.9,0.0020208
0.92,0.00159194
0.94,0.00117822
0.96,0.000777139
0.98,0.000386366
1,0
