x,T
0,0.751491
0.02,0.736132
0.04,0.720793
0.06,0.705473
0.08,0.690172
0.1,0.674889
0.12,0.659624
0.14,0.644376
0.16,0.629146
0.18,0.613933
0.2,0.598737
0.22,0.583556
0.24,0.568392
0.26,0.553243
0.28,0.538109
0.3,0.52299
0.32,0.507885
0.34,0.492794
0.36,0.477716
0.38,0.462652
0.4,0.447601
0.42,0.432562
0.44,0.417535
0.46,0.402519
0.48,0.387515
0.5,0.372521
0.52,0.357538
0.54,0.342565
0.56,0.327602
0.58,0.312648
0.6,0.297702
0.62,0.282765
0.64,0.267836
0.66,0.252915
0.68,0.238
0.7,0.223092
0.72,0.208191
0.74,0.193296
0.76,0.178406
0.78,0.163521
0.8,0.14864
0.82,0.133764
0.84,0.118892
0.86,0.104023
0.88,0.0891571
0.9,0.0742937
0.92,0.0594324
0.94,0.0445728
0.96,0.0297145
0.98,0.014857
1,0
