x,T
0,0.454148
0.02,0.438725
0.04,0.423801
0.06,0.409354
0.08,0.395367
0.1,0.381821
0.12,0.368698
0.14,0.355982
0.16,0.343656
0.18,0.331705
0.2,0.320116
0.22,0.308874
0.24,0.297967
0.26,0.28738
0.28,0.277103
0.3,0.267125
0.32,0.257433
0.34,0.248018
0.36,0.238869
0.38,0.229976
0.4,0.221332
0.42,0.212926
0.44,0.20467
0.46,0.196509
0.48,0.18844
0.5,0.180459
0.52,0.172563
0.54,0.164749
0.56,0.157014
0.58,0.149355
0.6,0.141767
0.62,0.134249
0.64,0.126797
0.66,0.119406
0.68,0.112075
0.7,0.104799
0.72,0.0975759
0.74,0.0904012
0.76,0.083272
0.78,0.0761847
0.8,0.0691359
0.82,0.0621222
0.84,0.05514
0.86,0.048186
0.88,0.0412565
0.9,0.0343482
0.92,0.0274574
0.94,0.0205807
0.96,0.0137146
0.98,0.00685555
1,0
