x,T
0,0.657534
0.02,0.643752
0.04,0.630006
0.06,0.616297
0.08,0.602624
0.1,0.588985
0.12,0.575381
0.14,0.561811
0.16,0.548274
0.18,0.534769
0.2,0.521296
0.22,0.507854
0.24,0.494442
0.26,0.481061
0.28,0.467708
0.3,0.454383
0.32,0.441087
0.34,0.427817
0.36,0.414573
0.38,0.401354
0.4,0.388161
0.42,0.374991
0.44,0.361844
0.46,0.34872
0.48,0.335618
0.5,0.322536
0.52,0.309475
0.54,0.296433
0.56,0.28341
0.58,0.270405
0.6,0.257416
0.62,0.244444
0.64,0.231488
0.66,0.218546
0.68,0.205618
0.7,0.192703
0.72,0.179801
0.74,0.16691
0.76,0.154029
0.78,0.141159
0.8,0.128297
0.82,0.115444
0.84,0.102598
0.86,0.0897589
0.88,0.0769255
0.9,0.064097
0.92,0.0512727
0.94,0.0384516
0.96,0.025633
0.98,0.0128161
1,0
