x,T
0,0.641834
0.02,0.628305
0.04,0.614816
0.06,0.601367
0.08,0.587957
0.1,0.574585
0.12,0.561251
0.14,0.547954
0.16,0.534694
0.18,0.521468
0.2,0.508278
0.22,0.495122
0.24,0.481999
0.26,0.468908
0.28,0.45585
0.3,0.442822
0.32,0.429825
0.34,0.416857
0.36,0.403918
0.38,0.391007
0.4,0.378122
0.42,0.365265
0.44,0.352432
0.46,0.339624
0.48,0.326841
0.5,0.31408
0.52,0.301341
0.54,0.288623
0.56,0.275926
0.58,0.263249
0.6,0.25059
0.62,0.23795
0.64,0.225326
0.66,0.212718
0.68,0.200126
0.7,0.187548
0.72,0.174984
0.74,0.162432
0.76,0.149892
0.78,0.137363
0.8,0.124843
0.82,0.112333
0.84,0.0998312
0.86,0.0873364
0.88,0.074848
0.9,0.062365
0.92,0.0498866
0.94,0.0374117
0.96,0.0249396
0.98,0.0124694
1,0
