x,T
0,0.726477
0.02,0.711548
0.04,0.696642
0.06,0.68176
0.08,0.6669
0.1,0.652063
0.12,0.637247
0.14,0.622453
0.16,0.60768
0.18,0.592927
0.2,0.578195
0.22,0.563482
0.24,0.548789
0.26,0.534114
0.28,0.519458
0.3,0.504819
0.32,0.490198
0.34,0.475594
0.36,0.461006
0.38,0.446435
0.4,0.431878
0.42,0.417337
0.44,0.402811
0.46,0.388299
0.48,0.3738
0.5,0.359315
0.52,0.344842
0.54,0.330382
0.56,0.315933
0.58,0.301495
0.6,0.287068
0.62,0.272651
0.64,0.258244
0.66,0.243846
0.68,0.229457
0.7,0.215076
0.72,0.200703
0.74,0.186337
0.76,0.171978
0.78,0.157624
0.8,0.143277
0.82,0.128934
0.84,0.114597
0.86,0.100263
0.88,0.0859331
0.9,0.0716062
0.92,0.0572818
0.94,0.0429596
0.96,0.0286388
0.98,0.0143192
1,0
