x,T
0,0.309392
0.02,0.291063
0.04,0.273909
0.06,0.257843
0.08,0.242785
0.1,0.228661
0.12,0.215405
0.14,0.202955
0.16,0.191255
0.18,0.180253
0.2,0.169901
0.22,0.160155
0.24,0.150974
0.26,0.14232
0.28,0.134158
0.3,0.126456
0.32,0.119183
0.34,0.112312
0.36,0.105815
0.38,0.0996693
0.4,0.0938512
0.42,0.0883398
0.44,0.0831151
0.46,0.0781588
0.48,0.0734534
0.5,0.0689828
0.52,0.0647316
0.54,0.0606858
0.56,0.0568319
0.58,0.0531574
0.6,0.0496506
0.62,0.0463004
0.64,0.0430964
0.66,0.040029
0.68,0.0370888
0.7,0.0342673
0.72,0.0315564
0.74,0.0289484
0.76,0.0264361
0.78,0.0240127
0.8,0.0216718
0.82,0.0193925
0.84,0.0171487
0.86,0.0149364
0.88,0.0127516
0.9,0.0105904
0.92,0.00844876
0.94,0.00632285
0.96,0.0042087
0.98,0.00210239
1,0
