x,T
0,0.752475
0.02,0.7371
0.04,0.721743
0.06,0.706406
0.08,0.691087
0.1,0.675786
0.12,0.660503
0.14,0.645238
0.16,0.62999
0.18,0.614759
0.2,0.599544
0.22,0.584345
0.24,0.569162
0.26,0.553994
0.28,0.538841
0.3,0.523703
0.32,0.508579
0.34,0.493469
0.36,0.478372
0.38,0.463289
0.4,0.448218
0.42,0.433159
0.44,0.418112
0.46,0.403077
0.48,0.388053
0.5,0.37304
0.52,0.358037
0.54,0.343043
0.56,0.32806
0.58,0.313085
0.6,0.298119
0.62,0.283162
0.64,0.268212
0.66,0.25327
0.68,0.238335
0.7,0.223407
0.72,0.208485
0.74,0.193568
0.76,0.178658
0.78,0.163752
0.8,0.148851
0.82,0.133954
0.84,0.11906
0.86,0.10417
0.88,0.0892835
0.9,0.0743991
0.92,0.0595167
0.94,0.0446361
0.96,0.0297567
0.98,0.0148781
1,0
