x,T
0,0.573379
0.02,0.56088
0.04,0.54844
0.06,0.536055
0.08,0.523727
0.1,0.511454
0.12,0.499236
0.14,0.487071
0.16,0.474959
0.18,0.462899
0.2,0.45089
0.22,0.438931
0.24,0.427021
0.26,0.41516
0.28,0.403346
0.3,0.391578
0.32,0.379856
0.34,0.368179
0.36,0.356544
0.38,0.344953
0.4,0.333402
0.42,0.321891
0.44,0.31042
0.46,0.298986
0.48,0.28759
0.5,0.276229
0.52,0.264902
0.54,0.253609
0.56,0.242347
0.58,0.231116
0.6,0.219915
0.62,0.208742
0.64,0.197596
0.66,0.186475
0.68,0.175379
0.7,0.164305
0.72,0.153253
0.74,0.142222
0.76,0.131209
0.78,0.120213
0.8,0.109233
0.82,0.0982684
0.84,0.0873164
0.86,0.0763762
0.88,0.0654462
0.9,0.0545251
0.92,0.0436112
0.94,0.0327033
0.96,0.0217997
0.98,0.0108991
1,0
