x,T
0,0.418605
0.02,0.402522
0.04,0.387052
0.06,0.372165
0.08,0.357834
0.1,0.344031
0.12,0.330733
0.14,0.317916
0.16,0.305559
0.18,0.29364
0.2,0.28214
0.22,0.27104
0.24,0.260322
0.26,0.249969
0.28,0.239965
0.3,0.230295
0.32,0.220945
0.34,0.211901
0.36,0.203149
0.38,0.194677
0.4,0.186473
0.42,0.178526
0.44,0.170825
0.46,0.163359
0.48,0.15612
0.5,0.149096
0.52,0.14228
0.54,0.135662
0.56,0.129131
0.58,0.122684
0.6,0.116318
0.62,0.110027
0.64,0.10381
0.66,0.0976608
0.68,0.0915773
0.7,0.0855552
0.72,0.0795907
0.74,0.07368
0.76,0.0678194
0.78,0.062005
0.8,0.056233
0.82,0.0504995
0.84,0.0448009
0.86,0.0391331
0.88,0.0334924
0.9,0.0278748
0.92,0.0222766
0.94,0.0166939
0.96,0.0111228
0.98,0.00555948
1,0
