x,T
0,0.73904
0.02,0.723896
0.04,0.708773
0.06,0.693672
0.08,0.678591
0.1,0.66353
0.12,0.64849
0.14,0.633469
0.16,0.618467
0.18,0.603483
0.2,0.588518
0.22,0.573571
0.24,0.558641
0.26,0.543729
0.28,0.528833
0.3,0.513953
0.32,0.499089
0.34,0.484241
0.36,0.469407
0.38,0.454588
0.4,0.439784
0.42,0.424993
0.44,0.410215
0.46,0.39545
0.48,0.380697
0.5,0.365957
0.52,0.351227
0.54,0.336509
0.56,0.321802
0.58,0.307104
0.6,0.292417
0.62,0.277739
0.64,0.263069
0.66,0.248408
0.68,0.233755
0.7,0.219109
0.72,0.20447
0.74,0.189838
0.76,0.175211
0.78,0.160591
0.8,0.145975
0.82,0.131364
0.84,0.116758
0.86,0.102155
0.88,0.0875551
0.9,0.0729583
0.92,0.0583638
0.94,0.0437712
0.96,0.02918
0.98,0.0145898
1,0
