x,T
0,0.703088
0.02,0.688554
0.04,0.674048
0.06,0.659569
0.08,0.645117
0.1,0.630691
0.12,0.616291
0.14,0.601916
0.16,0.587566
0.18,0.573241
0.2,0.558939
0.22,0.54466
0.24,0.530404
0.26,0.51617
0.28,0.501958
0.3,0.487767
0.32,0.473597
0.34,0.459447
0.36,0.445316
0.38,0.431204
0.4,0.417111
0.42,0.403035
0.44,0.388977
0.46,0.374936
0.48,0.36091
0.5,0.346901
0.52,0.332906
0.54,0.318926
0.56,0.304959
0.58,0.291006
0.6,0.277065
0.62,0.263137
0.64,0.24922
0.66,0.235314
0.68,0.221418
0.7,0.207533
0.72,0.193656
0.74,0.179787
0.76,0.165927
0.78,0.152074
0.8,0.138228
0.82,0.124388
0.84,0.110553
0.86,0.096723
0.88,0.0828974
0.9,0.0690756
0.92,0.0552568
0.94,0.0414405
0.96,0.0276259
0.98,0.0138127
1,0
