x,T
0,0.624625
0.02,0.611369
0.04,0.598158
0.06,0.584991
0.08,0.571867
0.1,0.558784
0.12,0.545744
0.14,0.532743
0.16,0.519783
0.18,0.506862
0.2,0.493979
0.22,0.481134
0.24,0.468325
0.26,0.455553
0.28,0.442815
0.3,0.430112
0.32,0.417441
0.34,0.404804
0.36,0.392198
0.38,0.379623
0.4,0.367077
0.42,0.354561
0.44,0.342073
0.46,0.329612
0.48,0.317177
0.5,0.304768
0.52,0.292383
0.54,0.280022
0.56,0.267683
0.58,0.255366
0.6,0.24307
0.62,0.230794
0.64,0.218536
0.66,0.206296
0.68,0.194073
0.7,0.181866
0.72,0.169674
0.74,0.157496
0.76,0.145331
0.78,0.133178
0.8,0.121035
0.82,0.108903
0.84,0.0967801
0.86,0.084665
0.88,0.072557
0.9,0.0604549
0.92,0.0483579
0.94,0.0362649
0.96,0.0241749
0.98,0.012087
1,0
