x,T
0,0.781086
0.02,0.76521
0.04,0.749349
0.06,0.733503
0.08,0.717671
0.1,0.701854
0.12,0.68605
0.14,0.670261
0.16,0.654484
0.18,0.638721
0.2,0.622971
0.22,0.607233
0.24,0.591507
0.26,0.575794
0.28,0.560092
0.3,0.544401
0.32,0.528722
0.34,0.513053
0.36,0.497395
0.38,0.481747
0.4,0.466108
0.42,0.45048
0.44,0.43486
0.46,0.41925
0.48,0.403648
0.5,0.388054
0.52,0.372469
0.54,0.356891
0.56,0.341321
0.58,0.325757
0.6,0.310201
0.62,0.294651
0.64,0.279107
0.66,0.263569
0.68,0.248036
0.7,0.232509
0.72,0.216986
0.74,0.201468
0.76,0.185954
0.78,0.170444
0.8,0.154938
0.82,0.139435
0.84,0.123935
0.86,0.108437
0.88,0.0929421
0.9,0.0774487
0.92,0.061957
0.94,0.0464666
0.96,0.0309772
0.98,0.0154884
1,0
