x,T
0,0.0310078
0.02,0.0135672
0.04,0.00633714
0.06,0.00308252
0.08,0.00154236
0.1,0.00078816
0.12,0.000409425
0.14,0.000215511
0.16,0.000114679
0.18,6.15826e-05
0.2,3.33265e-05
0.22,1.81556e-05
0.24,9.9479e-06
0.26,5.4782e-06
0.28,3.03015e-06
0.3,1.68261e-06
0.32,9.37574e-07
0.34,5.24037e-07
0.36,2.93704e-07
0.38,1.65014e-07
0.4,9.29141e-08
0.42,5.24196e-08
0.44,2.96257e-08
0.46,1.67697e-08
0.48,9.50582e-09
0.5,5.3951e-09
0.52,3.06545e-09
0.54,1.74349e-09
0.56,9.92486e-10
0.58,5.65412e-10
0.6,3.22328e-10
0.62,1.83859e-10
0.64,1.04928e-10
0.66,5.99071e-11
0.68,3.42153e-11
0.7,1.95472e-11
0.72,1.11698e-11
0.74,6.3838e-12
0.76,3.64887e-12
0.78,2.08574e-12
0.8,1.19224e-12
0.82,6.81461e-13
0.84,3.8946e-13
0.86,2.22517e-13
0.88,1.27051e-13
0.9,7.24123e-14
0.92,4.1053e-14
0.94,2.28942e-14
0.96,1.20976e-14
0.98,5.19744e-15
1,0
