x,T
0,0.777184
0.02,0.761376
0.04,0.745585
0.06,0.729809
0.08,0.714047
0.1,0.698301
0.12,0.682569
0.14,0.666851
0.16,0.651147
0.18,0.635457
0.2,0.61978
0.22,0.604116
0.24,0.588464
0.26,0.572825
0.28,0.557198
0.3,0.541583
0.32,0.52598
0.34,0.510387
0.36,0.494806
0.38,0.479235
0.4,0.463674
0.42,0.448123
0.44,0.432581
0.46,0.417049
0.48,0.401526
0.5,0.386012
0.52,0.370506
0.54,0.355008
0.56,0.339517
0.58,0.324034
0.6,0.308558
0.62,0.293089
0.64,0.277626
0.66,0.262169
0.68,0.246717
0.7,0.231271
0.72,0.21583
0.74,0.200394
0.76,0.184963
0.78,0.169535
0.8,0.154111
0.82,0.13869
0.84,0.123272
0.86,0.107857
0.88,0.0924448
0.9,0.0770342
0.92,0.0616254
0.94,0.0462178
0.96,0.0308113
0.98,0.0154055
1,0
