x,T
0,0.605678
0.02,0.592497
0.04,0.579377
0.06,0.566318
0.08,0.553318
0.1,0.540377
0.12,0.527493
0.14,0.514666
0.16,0.501894
0.18,0.489176
0.2,0.476512
0.22,0.463901
0.24,0.451341
0.26,0.438831
0.28,0.42637
0.3,0.413957
0.32,0.401591
0.34,0.38927
0.36,0.376995
0.38,0.364762
0.4,0.352571
0.42,0.340422
0.44,0.328312
0.46,0.31624
0.48,0.304206
0.5,0.292208
0.52,0.280244
0.54,0.268313
0.56,0.256415
0.58,0.244547
0.6,0.232709
0.62,0.220898
0.64,0.209115
0.66,0.197356
0.68,0.185622
0.7,0.17391
0.72,0.16222
0.74,0.15055
0.76,0.138897
0.78,0.127262
0.8,0.115643
0.82,0.104038
0.84,0.0924458
0.86,0.080865
0.88,0.0692942
0.9,0.0577321
0.92,0.0461771
0.94,0.0346278
0.96,0.0230828
0.98,0.0115407
1,0
