x,T
0,0.600639
0.02,0.58753
0.04,0.574485
0.06,0.561501
0.08,0.548578
0.1,0.535715
0.12,0.522911
0.14,0.510166
0.16,0.497477
0.18,0.484844
0.2,0.472266
0.22,0.459742
0.24,0.44727
0.26,0.43485
0.28,0.422481
0.3,0.41016
0.32,0.397888
0.34,0.385663
0.36,0.373483
0.38,0.361348
0.4,0.349256
0.42,0.337206
0.44,0.325197
0.46,0.313227
0.48,0.301295
0.5,0.289401
0.52,0.277542
0.54,0.265717
0.56,0.253925
0.58,0.242164
0.6,0.230434
0.62,0.218733
0.64,0.207059
0.66,0.195411
0.68,0.183787
0.7,0.172187
0.72,0.160609
0.74,0.149051
0.76,0.137513
0.78,0.125991
0.8,0.114486
0.82,0.102996
0.84,0.0915183
0.86,0.0800528
0.88,0.0685975
0.9,0.0571511
0.92,0.045712
0.94,0.0342789
0.96,0.0228501
0.98,0.0114243
1,0
