x,T
0,0.301676
0.02,0.292172
0.04,0.282862
0.06,0.273742
0.08,0.26481
0.1,0.256065
0.12,0.247504
0.14,0.239123
0.16,0.230921
0.18,0.222894
0.2,0.21504
0.22,0.207356
0.24,0.199839
0.26,0.192485
0.28,0.185291
0.3,0.178254
0.32,0.17137
0.34,0.164637
0.36,0.15805
0.38,0.151606
0.4,0.145301
0.42,0.139131
0.44,0.133092
0.46,0.127182
0.48,0.121394
0.5,0.115726
0.52,0.110173
0.54,0.104732
0.56,0.0993974
0.58,0.0941655
0.6,0.0890319
0.62,0.0839923
0.64,0.0790421
0.66,0.0741771
0.68,0.0693926
0.7,0.0646842
0.72,0.0600471
0.74,0.0554769
0.76,0.0509689
0.78,0.0465184
0.8,0.0421207
0.82,0.0377711
0.84,0.0334648
0.86,0.0291972
0.88,0.0249633
0.9,0.0207584
0.92,0.0165776
0.94,0.0124163
0.96,0.00826945
0.98,0.0041323
1,0
