x,T
0,0.727669
0.02,0.712616
0.04,0.697593
0.06,0.682598
0.08,0.667632
0.1,0.652693
0.12,0.637781
0.14,0.622896
0.16,0.608038
0.18,0.593204
0.2,0.578396
0.22,0.563613
0.24,0.548854
0.26,0.534118
0.28,0.519405
0.3,0.504714
0.32,0.490045
0.34,0.475397
0.36,0.46077
0.38,0.446164
0.4,0.431576
0.42,0.417008
0.44,0.402458
0.46,0.387925
0.48,0.37341
0.5,0.358912
0.52,0.344429
0.54,0.329962
0.56,0.315509
0.58,0.30107
0.6,0.286645
0.62,0.272233
0.64,0.257833
0.66,0.243445
0.68,0.229067
0.7,0.2147
0.72,0.200343
0.74,0.185995
0.76,0.171655
0.78,0.157323
0.8,0.142998
0.82,0.12868
0.84,0.114367
0.86,0.10006
0.88,0.0857571
0.9,0.0714583
0.92,0.0571627
0.94,0.0428697
0.96,0.0285787
0.98,0.014289
1,0
