x,T
0,0.548736
0.02,0.53635
0.04,0.524044
0.06,0.511817
0.08,0.499668
0.1,0.487597
0.12,0.4756
0.14,0.463678
0.16,0.45183
0.18,0.440053
0.2,0.428347
0.22,0.41671
0.24,0.40514
0.26,0.393638
0.28,0.3822
0.3,0.370825
0.32,0.359513
0.34,0.348261
0.36,0.337069
0.38,0.325934
0.4,0.314854
0.42,0.303829
0.44,0.292857
0.46,0.281936
0.48,0.271065
0.5,0.260241
0.52,0.249463
0.54,0.23873
0.56,0.22804
0.58,0.21739
0.6,0.20678
0.62,0.196207
0.64,0.18567
0.66,0.175166
0.68,0.164695
0.7,0.154254
0.72,0.143841
0.74,0.133455
0.76,0.123094
0.78,0.112756
0.8,0.102438
0.82,0.0921397
0.84,0.0818585
0.86,0.0715926
0.88,0.0613401
0.9,0.0510992
0.92,0.0408678
0.94,0.0306441
0.96,0.0204262
0.98,0.0102122
1,0
