x,T
0,0.720358
0.02,0.705424
0.04,0.69052
0.06,0.675647
0.08,0.660804
0.1,0.64599
0.12,0.631205
0.14,0.616447
0.16,0.601718
0.18,0.587015
0.2,0.572339
0.22,0.557689
0.24,0.543064
0.26,0.528464
0.28,0.513888
0.3,0.499336
0.32,0.484806
0.34,0.4703
0.36,0.455815
0.38,0.441351
0.4,0.426908
0.42,0.412485
0.44,0.398081
0.46,0.383696
0.48,0.369329
0.5,0.354979
0.52,0.340647
0.54,0.32633
0.56,0.31203
0.58,0.297744
0.6,0.283472
0.62,0.269214
0.64,0.254969
0.66,0.240736
0.68,0.226514
0.7,0.212304
0.72,0.198104
0.74,0.183914
0.76,0.169732
0.78,0.155559
0.8,0.141393
0.82,0.127234
0.84,0.113081
0.86,0.098934
0.88,0.0847916
0.9,0.0706533
0.92,0.0565185
0.94,0.0423865
0.96,0.0282565
0.98,0.0141279
1,0
