x,T
0,0.590164
0.02,0.577205
0.04,0.564311
0.06,0.551483
0.08,0.53872
0.1,0.526019
0.12,0.513381
0.14,0.500804
0.16,0.488287
0.18,0.475829
0.2,0.463429
0.22,0.451085
0.24,0.438798
0.26,0.426564
0.28,0.414384
0.3,0.402255
0.32,0.390178
0.34,0.37815
0.36,0.36617
0.38,0.354237
0.4,0.34235
0.42,0.330507
0.44,0.318707
0.46,0.306949
0.48,0.295231
0.5,0.283552
0.52,0.271911
0.54,0.260306
0.56,0.248736
0.58,0.237199
0.6,0.225693
0.62,0.214219
0.64,0.202773
0.66,0.191355
0.68,0.179963
0.7,0.168595
0.72,0.157251
0.74,0.145928
0.76,0.134625
0.78,0.123341
0.8,0.112074
0.82,0.100822
0.84,0.0895845
0.86,0.0783592
0.88,0.0671448
0.9,0.0559397
0.92,0.0447424
0.94,0.0335514
0.96,0.022365
0.98,0.0111817
1,0
