x,T
0,0.635569
0.02,0.62195
0.04,0.608384
0.06,0.594869
0.08,0.581405
0.1,0.567991
0.12,0.554625
0.14,0.541308
0.16,0.528039
0.18,0.514815
0.2,0.501637
0.22,0.488504
0.24,0.475414
0.26,0.462367
0.28,0.449362
0.3,0.436398
0.32,0.423473
0.34,0.410587
0.36,0.397739
0.38,0.384927
0.4,0.372151
0.42,0.35941
0.44,0.346702
0.46,0.334027
0.48,0.321384
0.5,0.308771
0.52,0.296187
0.54,0.283631
0.56,0.271103
0.58,0.2586
0.6,0.246123
0.62,0.233669
0.64,0.221237
0.66,0.208828
0.68,0.196438
0.7,0.184067
0.72,0.171715
0.74,0.159379
0.76,0.147059
0.78,0.134753
0.8,0.122461
0.82,0.11018
0.84,0.0979105
0.86,0.0856505
0.88,0.073399
0.9,0.0611547
0.92,0.0489165
0.94,0.0366832
0.96,0.0244534
0.98,0.0122261
1,0
