x,T
0,0.799358
0.02,0.783103
0.04,0.766863
0.06,0.75064
0.08,0.734431
0.1,0.718238
0.12,0.702059
0.14,0.685894
0.16,0.669744
0.18,0.653607
0.2,0.637484
0.22,0.621374
0.24,0.605277
0.26,0.589193
0.28,0.573121
0.3,0.557061
0.32,0.541013
0.34,0.524976
0.36,0.50895
0.38,0.492934
0.4,0.47693
0.42,0.460935
0.44,0.44495
0.46,0.428975
0.48,0.413008
0.5,0.397051
0.52,0.381102
0.54,0.365161
0.56,0.349228
0.58,0.333302
0.6,0.317384
0.62,0.301472
0.64,0.285567
0.66,0.269668
0.68,0.253775
0.7,0.237888
0.72,0.222005
0.74,0.206128
0.76,0.190254
0.78,0.174385
0.8,0.15852
0.82,0.142658
0.84,0.126799
0.86,0.110944
0.88,0.0950899
0.9,0.0792385
0.92,0.0633887
0.94,0.0475403
0.96,0.031693
0.98,0.0158463
1,0
