x,T
0,0.34555
0.02,0.335583
0.04,0.325785
0.06,0.316155
0.08,0.306691
0.1,0.29739
0.12,0.28825
0.14,0.27927
0.16,0.270446
0.18,0.261777
0.2,0.253259
0.22,0.244891
0.24,0.236669
0.26,0.228591
0.28,0.220654
0.3,0.212856
0.32,0.205192
0.34,0.197661
0.36,0.190259
0.38,0.182982
0.4,0.175828
0.42,0.168794
0.44,0.161876
0.46,0.15507
0.48,0.148373
0.5,0.141782
0.52,0.135292
0.54,0.128901
0.56,0.122605
0.58,0.116399
0.6,0.11028
0.62,0.104245
0.64,0.0982887
0.66,0.0924079
0.68,0.0865985
0.7,0.0808564
0.72,0.0751778
0.74,0.0695584
0.76,0.0639941
0.78,0.058481
0.8,0.0530146
0.82,0.047591
0.84,0.0422059
0.86,0.036855
0.88,0.0315341
0.9,0.026239
0.92,0.0209654
0.94,0.015709
0.96,0.0104655
0.98,0.00523059
1,0
