x,T
0,0.725275
0.02,0.710261
0.04,0.695277
0.06,0.680322
0.08,0.665396
0.1,0.650498
0.12,0.635628
0.14,0.620785
0.16,0.605969
0.18,0.591178
0.2,0.576413
0.22,0.561674
0.24,0.546958
0.26,0.532267
0.28,0.517599
0.3,0.502953
0.32,0.48833
0.34,0.473729
0.36,0.459148
0.38,0.444588
0.4,0.430048
0.42,0.415528
0.44,0.401025
0.46,0.386541
0.48,0.372075
0.5,0.357625
0.52,0.343191
0.54,0.328773
0.56,0.31437
0.58,0.299982
0.6,0.285607
0.62,0.271245
0.64,0.256896
0.66,0.242558
0.68,0.228232
0.7,0.213916
0.72,0.19961
0.74,0.185314
0.76,0.171026
0.78,0.156746
0.8,0.142473
0.82,0.128207
0.84,0.113946
0.86,0.0996915
0.88,0.0854412
0.9,0.0711949
0.92,0.0569519
0.94,0.0427116
0.96,0.0284733
0.98,0.0142363
1,0
