x,T
0,0.765478
0.02,0.749801
0.04,0.734145
0.06,0.71851
0.08,0.702896
0.1,0.687303
0.12,0.67173
0.14,0.656176
0.16,0.640642
0.18,0.625127
0.2,0.60963
0.22,0.594151
0.24,0.578691
0.26,0.563247
0.28,0.54782
0.3,0.53241
0.32,0.517016
0.34,0.501637
0.36,0.486274
0.38,0.470926
0.4,0.455591
0.42,0.440271
0.44,0.424964
0.46,0.409671
0.48,0.39439
0.5,0.379121
0.52,0.363863
0.54,0.348617
0.56,0.333382
0.58,0.318157
0.6,0.302942
0.62,0.287736
0.64,0.27254
0.66,0.257351
0.68,0.242171
0.7,0.226999
0.72,0.211833
0.74,0.196675
0.76,0.181522
0.78,0.166375
0.8,0.151233
0.82,0.136096
0.84,0.120964
0.86,0.105835
0.88,0.0907095
0.9,0.0755868
0.92,0.0604666
0.94,0.0453483
0.96,0.0302314
0.98,0.0151155
1,0
