x,T
0,0.358974
0.02,0.348864
0.04,0.338917
0.06,0.32913
0.08,0.319502
0.1,0.310031
0.12,0.300715
0.14,0.291551
0.16,0.282538
0.18,0.273672
0.2,0.264952
0.22,0.256375
0.24,0.247939
0.26,0.239641
0.28,0.231478
0.3,0.223447
0.32,0.215546
0.34,0.207772
0.36,0.200121
0.38,0.192591
0.4,0.185179
0.42,0.177881
0.44,0.170694
0.46,0.163615
0.48,0.156641
0.5,0.149768
0.52,0.142993
0.54,0.136312
0.56,0.129721
0.58,0.123218
0.6,0.116798
0.62,0.110458
0.64,0.104194
0.66,0.0980025
0.68,0.0918792
0.7,0.0858206
0.72,0.0798228
0.74,0.0738818
0.76,0.0679937
0.78,0.0621545
0.8,0.0563604
0.82,0.0506071
0.84,0.0448908
0.86,0.0392074
0.88,0.0335528
0.9,0.0279228
0.92,0.0223135
0.94,0.0167207
0.96,0.0111402
0.98,0.00556805
1,0
