x,T
0,0.760994
0.02,0.745392
0.04,0.729812
0.06,0.714254
0.08,0.698718
0.1,0.683203
0.12,0.667709
0.14,0.652236
0.16,0.636782
0.18,0.621348
0.2,0.605934
0.22,0.590538
0.24,0.575161
0.26,0.559802
0.28,0.54446
0.3,0.529136
0.32,0.513828
0.34,0.498536
0.36,0.48326
0.38,0.468
0.4,0.452755
0.42,0.437524
0.44,0.422306
0.46,0.407103
0.48,0.391913
0.5,0.376735
0.52,0.361569
0.54,0.346415
0.56,0.331273
0.58,0.316141
0.6,0.301019
0.62,0.285907
0.64,0.270805
0.66,0.255711
0.68,0.240626
0.7,0.225548
0.72,0.210478
0.74,0.195415
0.76,0.180358
0.78,0.165308
0.8,0.150262
0.82,0.135222
0.84,0.120186
0.86,0.105154
0.88,0.0901257
0.9,0.0751002
0.92,0.0600772
0.94,0.0450561
0.96,0.0300366
0.98,0.015018
1,0
