x,T
0,0.70726
0.02,0.692536
0.04,0.677846
0.06,0.663189
0.08,0.648565
0.1,0.633972
0.12,0.619411
0.14,0.604882
0.16,0.590382
0.18,0.575912
0.2,0.561471
0.22,0.547059
0.24,0.532674
0.26,0.518317
0.28,0.503986
0.3,0.489681
0.32,0.475401
0.34,0.461146
0.36,0.446916
0.38,0.432708
0.4,0.418523
0.42,0.40436
0.44,0.390218
0.46,0.376097
0.48,0.361996
0.5,0.347914
0.52,0.333851
0.54,0.319805
0.56,0.305777
0.58,0.291765
0.6,0.277768
0.62,0.263787
0.64,0.24982
0.66,0.235866
0.68,0.221925
0.7,0.207996
0.72,0.194079
0.74,0.180172
0.76,0.166274
0.78,0.152386
0.8,0.138506
0.82,0.124634
0.84,0.110769
0.86,0.0969093
0.88,0.0830552
0.9,0.0692057
0.92,0.05536
0.94,0.0415174
0.96,0.027677
0.98,0.0138381
1,0
