x,T
0,0.743326
0.02,0.728018
0.04,0.712735
0.06,0.697477
0.08,0.682245
0.1,0.667037
0.12,0.651853
0.14,0.636693
0.16,0.621556
0.18,0.606442
0.2,0.59135
0.22,0.57628
0.24,0.561231
0.26,0.546203
0.28,0.531195
0.3,0.516207
0.32,0.501239
0.34,0.486289
0.36,0.471358
0.38,0.456444
0.4,0.441548
0.42,0.426668
0.44,0.411805
0.46,0.396957
0.48,0.382124
0.5,0.367306
0.52,0.352502
0.54,0.337712
0.56,0.322935
0.58,0.30817
0.6,0.293417
0.62,0.278676
0.64,0.263945
0.66,0.249225
0.68,0.234514
0.7,0.219812
0.72,0.205119
0.74,0.190434
0.76,0.175757
0.78,0.161086
0.8,0.146422
0.82,0.131763
0.84,0.11711
0.86,0.102461
0.88,0.0878162
0.9,0.0731749
0.92,0.0585365
0.94,0.0439003
0.96,0.0292659
0.98,0.0146327
1,0
