x,T
0,0.786325
0.02,0.770294
0.04,0.754281
0.06,0.738285
0.08,0.722307
0.1,0.706346
0.12,0.690401
0.14,0.674473
0.16,0.658561
0.18,0.642665
0.2,0.626784
0.22,0.610918
0.24,0.595066
0.26,0.579229
0.28,0.563406
0.3,0.547596
0.32,0.5318
0.34,0.516017
0.36,0.500246
0.38,0.484488
0.4,0.468741
0.42,0.453006
0.44,0.437282
0.46,0.421569
0.48,0.405866
0.5,0.390173
0.52,0.37449
0.54,0.358816
0.56,0.343151
0.58,0.327494
0.6,0.311846
0.62,0.296205
0.64,0.280572
0.66,0.264946
0.68,0.249326
0.7,0.233713
0.72,0.218106
0.74,0.202504
0.76,0.186907
0.78,0.171315
0.8,0.155727
0.82,0.140143
0.84,0.124563
0.86,0.108986
0.88,0.0934111
0.9,0.077839
0.92,0.0622688
0.94,0.0467002
0.96,0.0311328
0.98,0.0155662
1,0
