x,T
0,0.736842
0.02,0.72164
0.04,0.706465
0.06,0.691316
0.08,0.676195
0.1,0.661098
0.12,0.646028
0.14,0.630982
0.16,0.61596
0.18,0.600963
0.2,0.585989
0.22,0.571038
0.24,0.556109
0.26,0.541202
0.28,0.526316
0.3,0.511452
0.32,0.496607
0.34,0.481783
0.36,0.466978
0.38,0.452191
0.4,0.437423
0.42,0.422672
0.44,0.407938
0.46,0.393221
0.48,0.37852
0.5,0.363834
0.52,0.349163
0.54,0.334507
0.56,0.319864
0.58,0.305234
0.6,0.290617
0.62,0.276012
0.64,0.261418
0.66,0.246835
0.68,0.232262
0.7,0.217699
0.72,0.203144
0.74,0.188599
0.76,0.174061
0.78,0.15953
0.8,0.145006
0.82,0.130488
0.84,0.115976
0.86,0.101468
0.88,0.0869649
0.9,0.0724652
0.92,0.0579685
0.94,0.0434743
0.96,0.0289818
0.98,0.0144906
1,0
