x,T
0,0.418605
0.02,0.407837
0.04,0.397203
0.06,0.386702
0.08,0.37633
0.1,0.366088
0.12,0.355972
0.14,0.345981
0.16,0.336113
0.18,0.326367
0.2,0.316739
0.22,0.307229
0.24,0.297833
0.26,0.28855
0.28,0.279378
0.3,0.270314
0.32,0.261355
0.34,0.2525
0.36,0.243746
0.38,0.23509
0.4,0.22653
0.42,0.218063
0.44,0.209687
0.46,0.201399
0.48,0.193196
0.5,0.185075
0.52,0.177034
0.54,0.16907
0.56,0.161179
0.58,0.153359
0.6,0.145608
0.62,0.137921
0.64,0.130295
0.66,0.122729
0.68,0.115218
0.7,0.10776
0.72,0.100352
0.74,0.0929891
0.76,0.0856696
0.78,0.0783899
0.8,0.0711467
0.82,0.0639368
0.84,0.0567569
0.86,0.0496037
0.88,0.042474
0.9,0.0353642
0.92,0.0282713
0.94,0.0211917
0.96,0.0141222
0.98,0.00705943
1,0
