x,T
0,0.792703
0.02,0.776563
0.04,0.760439
0.06,0.744332
0.08,0.728242
0.1,0.712167
0.12,0.696108
0.14,0.680064
0.16,0.664036
0.18,0.648022
0.2,0.632023
0.22,0.616037
0.24,0.600066
0.26,0.584108
0.28,0.568163
0.3,0.552231
0.32,0.536312
0.34,0.520404
0.36,0.504509
0.38,0.488625
0.4,0.472752
0.42,0.456889
0.44,0.441038
0.46,0.425196
0.48,0.409364
0.5,0.393542
0.52,0.377729
0.54,0.361924
0.56,0.346128
0.58,0.330339
0.6,0.314559
0.62,0.298786
0.64,0.283019
0.66,0.26726
0.68,0.251506
0.7,0.235758
0.72,0.220016
0.74,0.204279
0.76,0.188547
0.78,0.172819
0.8,0.157096
0.82,0.141375
0.84,0.125659
0.86,0.109945
0.88,0.0942337
0.9,0.0785247
0.92,0.0628175
0.94,0.0471119
0.96,0.0314073
0.98,0.0157035
1,0
