x,T
0,0.615385
0.02,0.602063
0.04,0.5888
0.06,0.575594
0.08,0.562444
0.1,0.549351
0.12,0.536312
0.14,0.523326
0.16,0.510394
0.18,0.497513
0.2,0.484683
0.22,0.471903
0.24,0.459171
0.26,0.446488
0.28,0.433851
0.3,0.421259
0.32,0.408712
0.34,0.396208
0.36,0.383747
0.38,0.371326
0.4,0.358946
0.42,0.346604
0.44,0.3343
0.46,0.322033
0.48,0.309801
0.5,0.297602
0.52,0.285437
0.54,0.273303
0.56,0.2612
0.58,0.249126
0.6,0.237079
0.62,0.22506
0.64,0.213065
0.66,0.201095
0.68,0.189147
0.7,0.177221
0.72,0.165315
0.74,0.153427
0.76,0.141558
0.78,0.129704
0.8,0.117865
0.82,0.10604
0.84,0.0942272
0.86,0.0824251
0.88,0.0706324
0.9,0.0588479
0.92,0.0470702
0.94,0.0352979
0.96,0.0235296
0.98,0.0117641
1,0
