x,T
0,0.734607
0.02,0.719442
0.04,0.704304
0.06,0.689193
0.08,0.674109
0.1,0.659051
0.12,0.644019
0.14,0.629013
0.16,0.614031
0.18,0.599074
0.2,0.58414
0.22,0.56923
0.24,0.554342
0.26,0.539477
0.28,0.524634
0.3,0.509811
0.32,0.49501
0.34,0.480228
0.36,0.465467
0.38,0.450724
0.4,0.435999
0.42,0.421293
0.44,0.406604
0.46,0.391932
0.48,0.377276
0.5,0.362636
0.52,0.348011
0.54,0.333401
0.56,0.318804
0.58,0.304221
0.6,0.28965
0.62,0.275092
0.64,0.260545
0.66,0.24601
0.68,0.231484
0.7,0.216969
0.72,0.202463
0.74,0.187965
0.76,0.173475
0.78,0.158993
0.8,0.144518
0.82,0.130048
0.84,0.115584
0.86,0.101126
0.88,0.086671
0.9,0.0722202
0.92,0.0577724
0.94,0.0433272
0.96,0.0288837
0.98,0.0144416
1,0
