x,T
0,0.731183
0.02,0.716073
0.04,0.700992
0.06,0.685938
0.08,0.670912
0.1,0.655913
0.12,0.640941
0.14,0.625995
0.16,0.611074
0.18,0.596177
0.2,0.581306
0.22,0.566458
0.24,0.551634
0.26,0.536833
0.28,0.522054
0.3,0.507296
0.32,0.49256
0.34,0.477845
0.36,0.46315
0.38,0.448474
0.4,0.433817
0.42,0.419179
0.44,0.404559
0.46,0.389956
0.48,0.375369
0.5,0.360799
0.52,0.346244
0.54,0.331704
0.56,0.317179
0.58,0.302667
0.6,0.288168
0.62,0.273682
0.64,0.259207
0.66,0.244744
0.68,0.230292
0.7,0.21585
0.72,0.201417
0.74,0.186993
0.76,0.172577
0.78,0.158169
0.8,0.143768
0.82,0.129373
0.84,0.114984
0.86,0.1006
0.88,0.0862202
0.9,0.0718444
0.92,0.0574717
0.94,0.0431015
0.96,0.0287333
0.98,0.0143663
1,0
