x,T
0,0.213836
0.02,0.205342
0.04,0.197091
0.06,0.18908
0.08,0.181307
0.1,0.173767
0.12,0.166456
0.14,0.159372
0.16,0.152508
0.18,0.145863
0.2,0.13943
0.22,0.133206
0.24,0.127187
0.26,0.121367
0.28,0.115742
0.3,0.110308
0.32,0.105059
0.34,0.0999914
0.36,0.0950991
0.38,0.0903776
0.4,0.0858217
0.42,0.0814265
0.44,0.0771867
0.46,0.0730971
0.48,0.0691526
0.5,0.065348
0.52,0.0616778
0.54,0.0581369
0.56,0.0547198
0.58,0.0514214
0.6,0.0482361
0.62,0.0451586
0.64,0.0421836
0.66,0.0393056
0.68,0.0365193
0.7,0.0338193
0.72,0.0312001
0.74,0.0286564
0.76,0.0261828
0.78,0.0237738
0.8,0.0214241
0.82,0.0191283
0.84,0.0168809
0.86,0.0146766
0.88,0.01251
0.9,0.0103757
0.92,0.00826825
0.94,0.00618235
0.96,0.0041126
0.98,0.00205361
1,0
